candidate_id,target_cik,filer_name,filer_tickers,sic_codes,sec_signal_date,last_related_filing_date,event_class,confidence,adjudication_status,model_label_eligible,filing_forms,accession_numbers,primary_source_urls,filing_count,review_notes
1dbbd5563e1fc3c82d94,1175505,"FIVE PRIME THERAPEUTICS, INC.",[],"[""2834""]",2021-03-18,2021-04-16,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-21-085017"", ""0001193125-21-089636"", ""0001193125-21-106872"", ""0001193125-21-109458"", ""0001193125-21-118574""]","[""https://www.sec.gov/Archives/edgar/data/1175505/000119312521085017/d150014dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1175505/000119312521089636/d114693dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1175505/000119312521106872/d163883dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1175505/000119312521109458/d115742dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1175505/000119312521118574/d173894dsc14d9a.htm""]",5,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
43e93623b39f9f7f33ef,899866,"ALEXION PHARMACEUTICALS, INC.",[],"[""2834""]",2021-04-13,2021-04-13,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001047469-21-000931""]","[""https://www.sec.gov/Archives/edgar/data/899866/000104746921000931/a2243190zdefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
e67d16e3c2d5e10f6cc6,1613859,"PRA Health Sciences, Inc.",[],"[""8731""]",2021-04-28,2021-04-28,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001140361-21-014639""]","[""https://www.sec.gov/Archives/edgar/data/1613859/000114036121014639/nt10020839x4_dem14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
4d5f2b3d4dd3284c833c,1638381,Intec Pharma Ltd.,[],"[""2834""]",2021-05-14,2021-05-14,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001493152-21-011550""]","[""https://www.sec.gov/Archives/edgar/data/1638381/000149315221011550/formdefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
6a5a1e6d99e311985717,1434418,CONSTELLATION PHARMACEUTICALS INC,[],"[""2834""]",2021-06-16,2021-07-15,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-21-192262"", ""0001193125-21-205588"", ""0001193125-21-206285"", ""0001193125-21-208730"", ""0001193125-21-215880""]","[""https://www.sec.gov/Archives/edgar/data/1434418/000119312521192262/d148389dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1434418/000119312521205588/d148389dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1434418/000119312521206285/d148389dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1434418/000119312521208730/d148389dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1434418/000119312521215880/d196520dsc14d9a.htm""]",5,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
50e3eeb1cb584cda3a2a,1339469,"CHIASMA, INC",[],"[""2834""]",2021-07-02,2021-07-02,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-21-207026""]","[""https://www.sec.gov/Archives/edgar/data/1339469/000119312521207026/d157032ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
a288d08fb06b44494baf,1422142,"Aerpio Pharmaceuticals, Inc.","[""AADI""]","[""2834""]",2021-07-08,2021-07-08,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-21-210402""]","[""https://www.sec.gov/Archives/edgar/data/1422142/000119312521210402/d187261ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
b4f1f0064324f11b97a4,1824893,Consonance-HFW Acquisition Corp.,"[""SRZN"", ""SRZNW""]","[""2836""]",2021-07-15,2021-07-15,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-21-216484""]","[""https://www.sec.gov/Archives/edgar/data/1824893/000119312521216484/d40894ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
90a0383386b5e4735a57,1561743,"Kindred Biosciences, Inc.",[],"[""2834""]",2021-07-21,2021-07-21,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001561743-21-000060""]","[""https://www.sec.gov/Archives/edgar/data/1561743/000156174321000060/k9-knightdefinitiveproxyst.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
11adff52fa04833aec0a,1346302,XERIS PHARMACEUTICALS INC,[],"[""2834""]",2021-07-29,2021-07-29,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-21-229354""]","[""https://www.sec.gov/Archives/edgar/data/1346302/000119312521229354/d182848ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
9bde7933d1324b0b3295,1634432,Strongbridge Biopharma plc,[],"[""2834""]",2021-07-29,2021-07-29,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-21-229343""]","[""https://www.sec.gov/Archives/edgar/data/1634432/000119312521229343/d182848ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
3c0bfe2d2970290c1f67,1799850,Chardan Healthcare Acquisition 2 Corp.,[],"[""2836""]",2021-08-05,2021-08-05,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001193125-21-236673""]","[""https://www.sec.gov/Archives/edgar/data/1799850/000119312521236673/d174118ddefm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
af6291dd827fb2f433f6,1693415,"Translate Bio, Inc.",[],"[""2836""]",2021-08-16,2021-09-14,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0001193125-21-247021"", ""0001193125-21-259527"", ""0001193125-21-266768"", ""0001193125-21-272109""]","[""https://www.sec.gov/Archives/edgar/data/1693415/000119312521247021/d117934dsc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1693415/000119312521259527/d117934dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1693415/000119312521266768/d117934dsc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1693415/000119312521272109/d117934dsc14d9a.htm""]",4,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
89bc1c29a436df09e29b,1616212,Trillium Therapeutics Inc.,[],"[""2834""]",2021-09-27,2021-09-27,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001104659-21-119525""]","[""https://www.sec.gov/Archives/edgar/data/1616212/000110465921119525/tm2127203-2_defm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
5a89615f983a03665b04,1557142,"Kadmon Holdings, Inc.",[],"[""2834""]",2021-10-04,2021-10-04,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001140361-21-033457""]","[""https://www.sec.gov/Archives/edgar/data/1557142/000114036121033457/ny20000668x2_defm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
a0ed48971431a633b586,720154,"Inotiv, Inc.","[""NOTV""]","[""8731""]",2021-10-05,2021-10-05,merger_proxy_filer,review_required,pending_review,False,"[""DEFM14A""]","[""0001104659-21-122852""]","[""https://www.sec.gov/Archives/edgar/data/720154/000110465921122852/tm2128376-2_defm14a.htm""]",1,"DEFM14A indicates merger-related proxy material, but the filer may be a target, buyer, SPAC, or reverse-merger participant. Manual review required."
f4ee39bac6223c55988e,1280600,ACCELERON PHARMA INC,[],"[""2836""]",2021-10-12,2021-11-22,tender_offer_target,high,provisional_primary_source,False,"[""SC 14D9"", ""SC 14D9/A""]","[""0000902664-21-004561"", ""0000902664-21-004645"", ""0000902664-21-004833"", ""0000902664-21-005026"", ""0001104659-21-125120"", ""0001104659-21-131967"", ""0001104659-21-135764"", ""0001104659-21-137430"", ""0001104659-21-140301"", ""0001104659-21-142200"", ""0001214659-21-010449""]","[""https://www.sec.gov/Archives/edgar/data/1280600/000090266421004561/p21-2315sc13d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1280600/000090266421004645/p21-2298sc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1280600/000090266421004833/p21-2460sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1280600/000090266421005026/p21-2570sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1280600/000110465921125120/tm2128840-3_sc14d9.htm"", ""https://www.sec.gov/Archives/edgar/data/1280600/000110465921131967/tm2131450d1_sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1280600/000110465921135764/tm2132291d1_sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1280600/000110465921137430/tm2132732d1_sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1280600/000110465921140301/tm2133216d1_sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1280600/000110465921142200/tm2133216d2_sc14d9a.htm"", ""https://www.sec.gov/Archives/edgar/data/1280600/000121465921010449/p21-2306sc14dn.htm""]",11,Schedule 14D-9 identifies the tender-offer subject company. Verify the first public announcement date and exclude non-control offers before promoting this candidate to a training label.
