owner_name,asset_count
YUNG SHIN PHARMACEUTICAL INDUSTRIAL CO LTD,7
PAI HOLDINGS LLC DBA PHARMACEUTICAL ASSOCIATES INC,7
SOLARIS PHARMA CORP,7
EISAI INC,7
I3 PHARMACEUTICALS LLC,7
CELLTRION INC,7
LILLY,7
3D Medicines,7
AB Science,7
ADC Therapeutics S.A.,7
"AFT Pharmaceuticals, Ltd.",7
"Advenchen Laboratories, LLC",7
"Ahn-Gook Pharmaceuticals Co.,Ltd",7
Alcon Research,7
Alentis Therapeutics AG,7
Apollo Therapeutics Ltd,7
AskBio Inc,7
Atsena Therapeutics Inc.,7
Bausch & Lomb Incorporated,7
Beijing Pearl Biotechnology Limited Liability Company,7
"Beijing Suncadia Pharmaceuticals Co., Ltd",7
Bellicum Pharmaceuticals,7
"Bio-Path Holdings, Inc.",7
BioVersys AG,7
"Biocity Biopharmaceutics Co., Ltd.",7
Biozeus Biopharmaceutical S.A.,7
Boston Scientific Corporation,7
"Chengdu Kanghong Pharmaceutical Group Co., Ltd.",7
"Chengdu Suncadia Medicine Co., Ltd.",7
Chiome Bioscience Inc.,7
"Deciphera Pharmaceuticals, LLC",7
Eccogene,7
Ferring Pharmaceuticals,7
GE Healthcare,7
"Gan and Lee Pharmaceuticals, USA",7
"GeneQuantum Healthcare (Suzhou) Co., Ltd.",7
"Guangzhou Gloria Biosciences Co., Ltd.",7
H. Lundbeck A/S,7
"HELP Therapeutics Co., Ltd.",7
"Hangzhou DAC Biotechnology Co., Ltd.",7
Hinova Pharmaceuticals Inc.,7
"Hrain Biotechnology Co., Ltd.",7
"Huabo Biopharm Co., Ltd.",7
Huahui Health,7
Hubei Bio-Pharmaceutical Industrial Technological Institute Inc.,7
Immunovant Sciences GmbH,7
Immutep S.A.S.,7
InSightec,7
Inimmune Corporation,7
"Karuna Therapeutics, Inc., a Bristol Myers Squibb company",7
Longbio Pharma,7
"Mabscale, LLC",7
Mapi Pharma Ltd.,7
"Neonc Technologies, Inc.",7
"Neurodawn Pharmaceutical Co., Ltd.",7
Nouscom SRL,7
Novo Nordisk A/S,7
Nuvalent Inc.,7
Octapharma,7
Oncolytics Biotech,7
PT Bio Farma,7
Perspective Therapeutics,7
"Shandong Boan Biotechnology Co., Ltd",7
"Shanghai Argo Biopharmaceutical Co., Ltd.",7
"Shanghai Cell Therapy Group Co.,Ltd",7
"Shanghai Kechow Pharma, Inc.",7
"Shanghai Yizhong Pharmaceutical Co., Ltd.",7
"Shanghai Zhimeng Biopharma, Inc.",7
Sinotau Pharmaceutical Group,7
